id,day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
730,1,1016.8,20.5,18.1,17.7,16.9,96.0,91.0,0.0,50.0,48.0,1
731,2,1019.9,16.6,15.5,14.4,12.4,92.0,100.0,0.0,40.0,37.0,1
732,3,1013.5,23.2,18.0,17.5,16.0,79.0,81.0,0.0,60.0,55.5,1
733,4,1014.9,18.6,17.3,16.9,16.8,95.0,95.0,0.0,20.0,59.5,1
734,5,1024.4,11.3,11.4,10.4,8.6,77.0,88.0,0.0,20.0,39.3,1
735,6,1021.6,14.3,13.7,11.8,11.1,67.0,91.0,0.0,20.0,59.5,0
736,7,1024.1,15.4,13.8,10.0,11.7,58.0,67.0,5.6,60.0,25.2,1
737,8,1018.9,15.0,13.6,12.7,11.2,96.0,100.0,0.0,20.0,29.0,1
738,9,1024.1,15.5,13.5,11.1,11.6,86.0,78.0,0.6,20.0,21.6,1
739,10,1014.5,16.3,14.7,11.8,11.6,87.0,100.0,0.0,20.0,29.8,1
740,11,1027.1,18.5,15.4,13.7,10.1,75.0,89.0,0.0,60.0,39.5,1
741,12,1017.7,17.0,16.6,14.8,15.7,93.0,100.0,0.0,70.0,30.3,1
742,13,1016.8,15.8,15.3,14.6,13.3,79.0,94.0,0.0,70.0,39.5,1
743,14,1022.4,18.5,16.5,15.3,12.1,76.0,88.0,0.0,50.0,29.6,1
744,15,1019.9,20.6,17.2,16.1,15.9,97.0,99.0,0.0,40.0,20.4,1
745,16,1020.9,18.6,17.2,15.4,12.7,75.0,19.0,3.9,30.0,42.0,0
746,17,1021.5,12.5,8.5,4.7,2.0,75.0,69.0,4.3,20.0,19.8,0
747,18,1023.9,19.5,16.4,15.4,9.8,72.0,11.0,10.2,20.0,28.6,0
748,19,1024.1,19.8,16.6,14.4,7.2,62.0,29.0,10.2,60.0,24.9,0
749,20,1021.6,20.3,16.1,14.3,13.2,76.0,19.0,10.2,10.0,55.5,0
750,21,1022.3,18.0,16.5,14.6,15.5,86.0,91.0,1.0,50.0,14.8,1
751,22,1023.9,20.3,17.3,16.4,14.7,74.0,43.0,10.2,30.0,14.1,0
752,23,1024.7,22.4,17.7,15.4,10.1,49.0,19.0,10.2,60.0,40.0,0
753,24,1014.6,23.8,19.4,17.2,16.8,63.0,81.0,2.4,10.0,39.5,0
754,25,1013.4,20.9,19.0,17.1,19.3,96.0,100.0,0.0,50.0,16.7,1
755,26,1014.8,25.3,21.7,18.4,18.0,86.0,80.0,3.4,40.0,14.7,1
756,27,1020.6,24.8,19.1,17.2,16.6,75.0,57.0,5.3,70.0,33.5,1
757,28,1013.6,22.7,21.9,19.1,19.2,90.0,88.0,1.0,40.0,25.1,1
